0.356-1.0889e-12i,-0.030193-0.33597i,-0.28271+0.051281i,0.05676+0.20528i,0.11667-0.044147i,-0.01577-0.031257i,0.037932-0.021556i,-0.057897-0.081645i,-0.095978+0.082345i,0.085471+0.082849i,0.049275-0.061565i,-0.010149-0.005635i,0.036695-0.06356i,-0.14938-0.067811i,-0.081331+0.23396i,0.30328+0.075597i
-0.030193+0.33597i,0.3511+1.0979e-12i,-0.029673-0.33006i,-0.27654+0.050188i,0.055244+0.19964i,0.11224-0.042534i,-0.014489-0.028491i,0.03888-0.022077i,-0.057338-0.080919i,-0.093978+0.080589i,0.082656+0.080138i,0.046456-0.058078i,-0.0065758-0.0032295i,0.038341-0.066537i,-0.15111-0.068579i,-0.081331+0.23396i
-0.28271-0.051281i,-0.029673+0.33006i,0.34464-2.2127e-13i,-0.029124-0.32381i,-0.27122+0.049247i,0.054218+0.1958i,0.11018-0.0418i,-0.014394-0.028226i,0.037631-0.021309i,-0.055685-0.07865i,-0.091292+0.078255i,0.080058+0.077627i,0.044591-0.055776i,-0.0051671-0.0022802i,0.038341-0.066537i,-0.14938-0.067811i
0.05676-0.20528i,-0.27654-0.050188i,-0.029124+0.32381i,0.33899+7.4776e-13i,-0.028735-0.31935i,-0.26835+0.048747i,0.053924+0.19465i,0.11061-0.041982i,-0.01519-0.029851i,0.035354-0.019946i,-0.053995-0.076314i,-0.08943+0.076642i,0.079012+0.076615i,0.044591-0.055776i,-0.0065758-0.0032295i,0.036695-0.06356i
0.11667+0.044147i,0.055244-0.19964i,-0.27122-0.049247i,-0.028735+0.31935i,0.33583-5.7498e-13i,-0.028593-0.31769i,-0.26816+0.048724i,0.054216+0.19566i,0.11239-0.042656i,-0.016156-0.031852i,0.033655-0.018933i,-0.053292-0.07534i,-0.08943+0.076642i,0.080058+0.077627i,0.046456-0.058078i,-0.010149-0.005635i
-0.01577+0.031257i,0.11224+0.042534i,0.054218-0.1958i,-0.26835-0.048747i,-0.028593+0.31769i,0.3354-3.1458e-13i,-0.028656-0.31833i,-0.26953+0.048979i,0.054677+0.19732i,0.11386-0.04321i,-0.016576-0.032725i,0.033655-0.018933i,-0.053995-0.076314i,-0.091292+0.078255i,0.082656+0.080138i,0.049275-0.061565i
0.037932+0.021556i,-0.014489+0.028491i,0.11018+0.0418i,0.053924-0.19465i,-0.26816-0.048724i,-0.028656+0.31833i,0.33662-4.0259e-13i,-0.028788-0.31978i,-0.27081+0.049213i,0.054889+0.19809i,0.11386-0.04321i,-0.016156-0.031852i,0.035354-0.019946i,-0.055685-0.07865i,-0.093978+0.080589i,0.085471+0.082849i
-0.057897+0.081645i,0.03888+0.022077i,-0.014394+0.028226i,0.11061+0.041982i,0.054216-0.19566i,-0.26953-0.048979i,-0.028788+0.31978i,0.33783+1.2426e-13i,-0.028851-0.32048i,-0.27081+0.049213i,0.054677+0.19732i,0.11239-0.042656i,-0.01519-0.029851i,0.037631-0.021309i,-0.057338-0.080919i,-0.095978+0.082345i
-0.095978-0.082345i,-0.057338+0.080919i,0.037631+0.021309i,-0.01519+0.029851i,0.11239+0.042656i,0.054677-0.19732i,-0.27081-0.049213i,-0.028851+0.32048i,0.33783-2.5044e-13i,-0.028788-0.31978i,-0.26953+0.048979i,0.054216+0.19566i,0.11061-0.041982i,-0.014394-0.028226i,0.03888-0.022077i,-0.057897-0.081645i
0.085471-0.082849i,-0.093978-0.080589i,-0.055685+0.07865i,0.035354+0.019946i,-0.016156+0.031852i,0.11386+0.04321i,0.054889-0.19809i,-0.27081-0.049213i,-0.028788+0.31978i,0.33662+3.1816e-13i,-0.028656-0.31833i,-0.26816+0.048724i,0.053924+0.19465i,0.11018-0.0418i,-0.014489-0.028491i,0.037932-0.021556i
0.049275+0.061565i,0.082656-0.080138i,-0.091292-0.078255i,-0.053995+0.076314i,0.033655+0.018933i,-0.016576+0.032725i,0.11386+0.04321i,0.054677-0.19732i,-0.26953-0.048979i,-0.028656+0.31833i,0.3354+4.3354e-14i,-0.028593-0.31769i,-0.26835+0.048747i,0.054218+0.1958i,0.11224-0.042534i,-0.01577-0.031257i
-0.010149+0.005635i,0.046456+0.058078i,0.080058-0.077627i,-0.08943-0.076642i,-0.053292+0.07534i,0.033655+0.018933i,-0.016156+0.031852i,0.11239+0.042656i,0.054216-0.19566i,-0.26816-0.048724i,-0.028593+0.31769i,0.33583+3.1561e-13i,-0.028735-0.31935i,-0.27122+0.049247i,0.055244+0.19964i,0.11667-0.044147i
0.036695+0.06356i,-0.0065758+0.0032295i,0.044591+0.055776i,0.079012-0.076615i,-0.08943-0.076642i,-0.053995+0.076314i,0.035354+0.019946i,-0.01519+0.029851i,0.11061+0.041982i,0.053924-0.19465i,-0.26835-0.048747i,-0.028735+0.31935i,0.33899-1.7382e-13i,-0.029124-0.32381i,-0.27654+0.050188i,0.05676+0.20528i
-0.14938+0.067811i,0.038341+0.066537i,-0.0051671+0.0022802i,0.044591+0.055776i,0.080058-0.077627i,-0.091292-0.078255i,-0.055685+0.07865i,0.037631+0.021309i,-0.014394+0.028226i,0.11018+0.0418i,0.054218-0.1958i,-0.27122-0.049247i,-0.029124+0.32381i,0.34464+2.935e-13i,-0.029673-0.33006i,-0.28271+0.051281i
-0.081331-0.23396i,-0.15111+0.068579i,0.038341+0.066537i,-0.0065758+0.0032295i,0.046456+0.058078i,0.082656-0.080138i,-0.093978-0.080589i,-0.057338+0.080919i,0.03888+0.022077i,-0.014489+0.028491i,0.11224+0.042534i,0.055244-0.19964i,-0.27654-0.050188i,-0.029673+0.33006i,0.3511-3.4213e-13i,-0.030193-0.33597i
0.30328-0.075597i,-0.081331-0.23396i,-0.14938+0.067811i,0.036695+0.06356i,-0.010149+0.005635i,0.049275+0.061565i,0.085471-0.082849i,-0.095978-0.082345i,-0.057897+0.081645i,0.037932+0.021556i,-0.01577+0.031257i,0.11667+0.044147i,0.05676-0.20528i,-0.28271-0.051281i,-0.030193+0.33597i,0.356-2.3465e-13i
